first_name,last_name,company_name,industry,Job Title,address,city,county,state,zip,phone1,phone,email
James,Butt,Benton,Marketing,Content strategist,6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@gmail.com
Josephine,Darakjy,Chanay,Sales,Compensation analyst,4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org
Art,Venere,Chemel,Sales,Investment advisor,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749,856-264-4130,art@venere.org
Lenna,Paprocki,Feltz Printing Service,Marketing,Marketing technologist,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com
Donette,Foller,Printing Dimensions,Medical,Full stack developer,34 Center St,Hamilton,Butler,OH,45011,513-570-1893,513-549-4561,donette.foller@cox.net
Simona,Morasca,Chapman,Business Administration,Content strategist,3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,419-800-6759,simona@morasca.com
Mitsue,Tollner,Morlong Associates,Finance,Investment advisor,7 Eads St,Chicago,Cook,IL,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com
Leota,Dilliard,Commercial Press,Marketing,Controller,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,408-813-1105,leota@hotmail.com
Sage,Wieser,Truhlar And Truhlar,Medical,Union organizer,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147,605-794-4895,sage_wieser@cox.net
Kris,Marrier,King,Banking,Accounts receivable & payable specialist,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,410-804-4694,kris@gmail.com
Minna,Amigon,Dorl,Consulting,Systems engineer,2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com
Abel,Maclead,Rangoni Of Florence,Engineering,Chartered wealth manager,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,631-677-3675,amaclead@gmail.com
Kiley,Caldarera,Feiner Bros,Sales,HR coordinator,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com
